,Adele,Ariana Grande,Benson Boone,Billie Eilish,Bruno Mars,Chainsmokers,Clairo,Coldplay,Daniel Caesar,Doja Cat,Dua Lipa,Ed sheeran,Gracie Abrams,Halsey,Harry Styles,Justin Bieber,Katy Perry,Lady Gaga,Lana Del Rey,Laufey,Maroon 5,Miley Cyrus,Olivia Dean,Paramore,SZA,Sam Smith,Shakira,Sombr,Tate Mcrae,Taylor Swift,Weekend
Adele,0.9999999999999999,-0.556274158221879,-0.34214466681688926,0.060616479080904756,-0.18859443692667294,-0.6633081731727918,0.5602035249604245,-0.0840326249335162,0.25431609883769085,-0.1950801229046343,0.16269928507395978,-0.6233526244444387,0.7188394508290732,-0.43338063436653906,-0.8650069564110862,0.053694826325898816,-0.6214532345028897,0.08608759734614145,-0.4027467392379514,0.3915955639239995,-0.7965622336603171,-0.053484431111419824,-0.9041037798973751,-0.5255618386821704,-0.33727353201664084,0.3918650712204781,0.8954285089365605,-0.7366223157074074,0.8624852745763077,0.6299518696043402,-0.09504788669059898
Ariana Grande,-0.556274158221879,0.9999999999999999,0.9013240523155727,-0.7781715988446882,0.885227379948742,0.1624329224627453,-0.9582110887659957,-0.5842552872217136,-0.8636858752114979,0.8198864190032622,0.5359854528400027,0.29545374641669153,-0.14056553456033452,0.9615067255839634,0.42033147269315013,-0.6496930597686196,0.9825928207447956,0.6674019212646907,-0.4218259504350823,-0.7663302693683888,0.8603305805360166,0.6104372168598827,0.3292064206444599,0.8167259688475457,0.5559024618135469,-0.5995011189086402,-0.4743353373908733,0.8605433505612945,-0.18868597392181302,-0.6736402955490063,0.6196804473555135
Benson Boone,-0.34214466681688926,0.9013240523155727,1.0,-0.8627849364591689,0.8754665037674807,0.03257298625374986,-0.8959108641923986,-0.6604525486960204,-0.87212769947042,0.7786040864954018,0.45918717036243206,0.3334881021164926,0.11605926686231345,0.9431046621551935,0.31131936415550854,-0.6136700891603919,0.8574900473737008,0.6206626718332223,-0.635778907786462,-0.8333694597834709,0.7193734364289937,0.7483325978565873,0.11029242387396529,0.7397746304297762,0.3788920105056575,-0.31264152887470326,-0.24871471435952422,0.7533360338743976,-0.033664223527571605,-0.46106497960705367,0.6609724296756234
Billie Eilish,0.060616479080904756,-0.7781715988446882,-0.8627849364591689,1.0,-0.8689810107545214,0.3726241040939187,0.8302876850478098,0.9098245558383871,0.9685951880002731,-0.7188536914070351,-0.5926328986700246,0.11860823531085493,-0.30086051992155016,-0.8401663793296493,0.10748471071514348,0.8846584130029252,-0.7189668788062509,-0.7980503948769757,0.8704510930798197,0.7927748553080676,-0.454565669545711,-0.7817148864795889,0.249104502579484,-0.5337946374871395,-0.3904698233682338,0.3925110790419024,0.04904411783561972,-0.5679709212137252,-0.34475038640699673,0.4914305106457388,-0.5723246608954166
Bruno Mars,-0.18859443692667294,0.885227379948742,0.8754665037674807,-0.8689810107545214,1.0,-0.13239185349238408,-0.8607336023798009,-0.7270243270223748,-0.881306981394685,0.7448552930084246,0.7693256365617029,0.002895263785489149,0.21498921467036802,0.917603913435067,0.08672203736862641,-0.7140690873735036,0.8605125876299813,0.8624512744897364,-0.6497150164549279,-0.7450449072339428,0.608723190213633,0.7545013273964877,-0.026264577726862477,0.6757953299246701,0.573424334686273,-0.46789045629184806,-0.15114477386004713,0.7038810927629845,0.1853541049724978,-0.5105554998233878,0.5857394598705493
Chainsmokers,-0.6633081731727918,0.1624329224627453,0.03257298625374986,0.3726241040939187,-0.13239185349238408,0.9999999999999998,-0.07766145423610829,0.5901479762601027,0.2806128001407785,0.08968378905842697,-0.3115342685746965,0.7432567565396728,-0.675095059785654,0.08131306381963302,0.7533181658915264,0.4751858233856856,0.2236778786894481,-0.4661979625671595,0.5927439780325929,0.13552314246588654,0.5849232570814555,-0.3553069445483418,0.8129070681520322,0.338420614745968,-0.18326418476762474,0.0510208347309646,-0.6220753352804198,0.25138379721327786,-0.8204185249620533,-0.01984749502163569,0.053506008940236806
Clairo,0.5602035249604245,-0.9582110887659957,-0.8959108641923986,0.8302876850478098,-0.8607336023798009,-0.07766145423610829,0.9999999999999998,0.6849490193448221,0.9084308106412724,-0.7325603669657341,-0.4685996144540603,-0.2173210398986422,0.15011031928643906,-0.9364811439099184,-0.38211081871915503,0.7277697560364182,-0.9588818064955332,-0.6593758906489416,0.47576015645371583,0.8110859989914614,-0.8187094977967356,-0.6456396836872926,-0.294913050614339,-0.7397901207810099,-0.48451462215709207,0.5721749724742604,0.5338252638794231,-0.8691007210381534,0.1678753127414829,0.7717142276985679,-0.4718499712506986
Coldplay,-0.0840326249335162,-0.5842552872217136,-0.6604525486960204,0.9098245558383871,-0.7270243270223748,0.5901479762601027,0.6849490193448221,1.0,0.8868958993818981,-0.47941033252696497,-0.6146398987640629,0.40523781548078525,-0.4147882077402276,-0.6683879669138116,0.27176268889568356,0.8849810149699482,-0.5448946490817345,-0.8358270323285105,0.837852819869155,0.7040585347022911,-0.18652764249116421,-0.7916809225723707,0.4059940989683024,-0.2877497949635885,-0.44463054132826313,0.29906630860911665,-0.08900791738226209,-0.45323314411567045,-0.49805489813925624,0.5088645881757423,-0.2510776317561178
Daniel Caesar,0.25431609883769085,-0.8636858752114979,-0.87212769947042,0.9685951880002731,-0.881306981394685,0.2806128001407785,0.9084308106412724,0.8868958993818981,0.9999999999999997,-0.7125731494659575,-0.5775021665970894,0.04724843107083978,-0.1505642450001746,-0.8960178038491378,-0.05798599324536316,0.8905373882363087,-0.8252116983091489,-0.8050980356854157,0.7369389281753236,0.8447635537749218,-0.5731270727216283,-0.7719328051130939,0.06128579151340292,-0.6183038871782853,-0.5283666369240583,0.5063031171866178,0.21515361347613954,-0.7168111897867965,-0.18891880490951882,0.6569907939998977,-0.548710009363191
Doja Cat,-0.1950801229046343,0.8198864190032622,0.7786040864954018,-0.7188536914070351,0.7448552930084246,0.08968378905842697,-0.7325603669657341,-0.47941033252696497,-0.7125731494659575,1.0,0.4966489708682022,0.189412544729915,-0.0910213107940577,0.8070101150867665,0.09236151657414181,-0.6027038268979326,0.7543250216092398,0.5762772262819332,-0.5719152656025472,-0.43326293041416836,0.6976992583026733,0.33861420166305556,0.03701274927582226,0.6732586270829711,0.17482990040645863,-0.5241903033826948,-0.22045138491471508,0.45519837783261125,0.09045403901201127,-0.3648847621693531,0.7798653099457312
Dua Lipa,0.16269928507395978,0.5359854528400027,0.45918717036243206,-0.5926328986700246,0.7693256365617029,-0.3115342685746965,-0.4685996144540603,-0.6146398987640629,-0.5775021665970894,0.4966489708682022,1.0,-0.44017267259696613,0.3764012607286483,0.601390336994598,-0.3207338885182771,-0.5379011561727259,0.5079069824446735,0.8717865793672158,-0.5492378388679583,-0.353929786349165,0.1954300276081533,0.5810165143178516,-0.3416730581445015,0.21284758318947905,0.592441662764513,-0.28144968970485945,0.14636197480680802,0.2849238137527346,0.48806336534904937,-0.27049366169412986,0.29257917462495797
Ed sheeran,-0.6233526244444387,0.29545374641669153,0.3334881021164926,0.11860823531085493,0.002895263785489149,0.7432567565396728,-0.2173210398986422,0.40523781548078525,0.04724843107083978,0.189412544729915,-0.44017267259696613,0.9999999999999998,-0.41427947267061604,0.22955234788302106,0.841298397336135,0.38199792710399477,0.29234483781993603,-0.4306145961595165,0.34013719386845387,-0.2160985569550282,0.5917039053776109,-0.04603839089128408,0.7229860999655441,0.5086749643601691,-0.1274191686784886,0.06798366692818768,-0.4516054990223999,0.4070619173243506,-0.7840520912981557,-0.004724473416845913,0.35748944186135473
Gracie Abrams,0.7188394508290732,-0.14056553456033452,0.11605926686231345,-0.30086051992155016,0.21498921467036802,-0.675095059785654,0.15011031928643906,-0.4147882077402276,-0.1505642450001746,-0.0910213107940577,0.3764012607286483,-0.41427947267061604,0.9999999999999998,-0.03277451020367213,-0.5514180455018112,-0.13108156228044335,-0.2328867686071557,0.35502112167835154,-0.5874487960311466,-0.2610435884402435,-0.5581071809531108,0.5726808256797842,-0.7872841457609178,-0.20371570664588118,0.1267847326173878,0.346850354156456,0.8145789800840315,-0.21425361442321164,0.6938881389243173,0.40608882261436136,0.06355368090220789
Halsey,-0.43338063436653906,0.9615067255839634,0.9431046621551935,-0.8401663793296493,0.917603913435067,0.08131306381963302,-0.9364811439099184,-0.6683879669138116,-0.8960178038491378,0.8070101150867665,0.601390336994598,0.22955234788302106,-0.03277451020367213,0.9999999999999999,0.3053877528032712,-0.6801205915647653,0.9418229936499282,0.727097234500997,-0.5513513115417774,-0.7698903970574323,0.7982683791124348,0.6878354845543524,0.1902635219881574,0.7438829061390618,0.5348177487957786,-0.439915619970385,-0.3580502124987918,0.8010827054049444,-0.04027621334797754,-0.5950271291161455,0.6296851920352226
Harry Styles,-0.8650069564110862,0.42033147269315013,0.31131936415550854,0.10748471071514348,0.08672203736862641,0.7533181658915264,-0.38211081871915503,0.27176268889568356,-0.05798599324536316,0.09236151657414181,-0.3207338885182771,0.841298397336135,-0.5514180455018112,0.3053877528032712,0.9999999999999999,0.23977995453675313,0.4827583363443785,-0.24972178026429706,0.4989016825700988,-0.33071263468390677,0.6845179626810735,0.03646045960802602,0.9267880375316391,0.5986242415988926,0.1895841598917498,-0.16276707117515452,-0.6829633762027958,0.6859119944858558,-0.9124789811116678,-0.3713053623807505,0.09552572617761337
Justin Bieber,0.053694826325898816,-0.6496930597686196,-0.6136700891603919,0.8846584130029252,-0.7140690873735036,0.4751858233856856,0.7277697560364182,0.8849810149699482,0.8905373882363087,-0.6027038268979326,-0.5379011561727259,0.38199792710399477,-0.13108156228044335,-0.6801205915647653,0.23977995453675313,0.9999999999999998,-0.6289585068645152,-0.809458467439104,0.7371103948665929,0.6008046053125888,-0.34601234351073956,-0.5501613585015851,0.24783325141762652,-0.4102110141549961,-0.4341596030941151,0.5956310960738854,0.09977100764528661,-0.4663017767184097,-0.4127892628764399,0.6114316610345153,-0.3949857320497737
Katy Perry,-0.6214532345028897,0.9825928207447956,0.8574900473737008,-0.7189668788062509,0.8605125876299813,0.2236778786894481,-0.9588818064955332,-0.5448946490817345,-0.8252116983091489,0.7543250216092398,0.5079069824446735,0.29234483781993603,-0.2328867686071557,0.9418229936499282,0.4827583363443785,-0.6289585068645152,1.0,0.6550934769366707,-0.32564686722121194,-0.7255893456743762,0.8869885994548424,0.5534501473945184,0.4225947855330588,0.831271324426399,0.5719595008913352,-0.6241730742452238,-0.5509085718894519,0.9018559963639454,-0.2520730046747508,-0.7383439524204755,0.5223728808403916
Lady Gaga,0.08608759734614145,0.6674019212646907,0.6206626718332223,-0.7980503948769757,0.8624512744897364,-0.4661979625671595,-0.6593758906489416,-0.8358270323285105,-0.8050980356854157,0.5762772262819332,0.8717865793672158,-0.4306145961595165,0.35502112167835154,0.727097234500997,-0.24972178026429706,-0.809458467439104,0.6550934769366707,1.0,-0.6798897629397549,-0.5507951840705301,0.27707742424369025,0.6782588975685934,-0.30780172101942394,0.40980687340155253,0.66782117404408,-0.48011034781031353,0.10849924608599623,0.4862256671239256,0.5106452346379919,-0.4794521874065495,0.3518557637503252
Lana Del Rey,-0.4027467392379514,-0.4218259504350823,-0.635778907786462,0.8704510930798197,-0.6497150164549279,0.5927439780325929,0.47576015645371583,0.837852819869155,0.7369389281753236,-0.5719152656025472,-0.5492378388679583,0.34013719386845387,-0.5874487960311466,-0.5513513115417774,0.4989016825700988,0.7371103948665929,-0.32564686722121194,-0.6798897629397549,0.9999999999999998,0.5259454756306188,-0.050892636066037764,-0.6664062832292181,0.6583773257797298,-0.18869948506482687,-0.09294338754603898,0.07634972061004366,-0.35065585669084526,-0.12112340938933788,-0.687533440017798,0.09889608423487174,-0.4861855161481206
Laufey,0.3915955639239995,-0.7663302693683888,-0.8333694597834709,0.7927748553080676,-0.7450449072339428,0.13552314246588654,0.8110859989914614,0.7040585347022911,0.8447635537749218,-0.43326293041416836,-0.353929786349165,-0.2160985569550282,-0.2610435884402435,-0.7698903970574323,-0.33071263468390677,0.6008046053125888,-0.7255893456743762,-0.5507951840705301,0.5259454756306188,1.0,-0.5061388501619838,-0.891183514129172,-0.10227400732554376,-0.5946745014310989,-0.5561250195746418,0.2834436750455914,0.2421870033585249,-0.8051032046747237,0.09472424435560253,0.553659263016699,-0.4277755713076615
Maroon 5,-0.7965622336603171,0.8603305805360166,0.7193734364289937,-0.454565669545711,0.608723190213633,0.5849232570814555,-0.8187094977967356,-0.18652764249116421,-0.5731270727216283,0.6976992583026733,0.1954300276081533,0.5917039053776109,-0.5581071809531108,0.7982683791124348,0.6845179626810735,-0.34601234351073956,0.8869885994548424,0.27707742424369025,-0.050892636066037764,-0.5061388501619838,0.9999999999999999,0.23387731043312293,0.6838091283427347,0.803982842813938,0.299560149247199,-0.4983344032842515,-0.7502084196413565,0.7955990748155328,-0.549972897786743,-0.6081441825061245,0.5277617828038449
Miley Cyrus,-0.053484431111419824,0.6104372168598827,0.7483325978565873,-0.7817148864795889,0.7545013273964877,-0.3553069445483418,-0.6456396836872926,-0.7916809225723707,-0.7719328051130939,0.33861420166305556,0.5810165143178516,-0.04603839089128408,0.5726808256797842,0.6878354845543524,0.03646045960802602,-0.5501613585015851,0.5534501473945184,0.6782588975685934,-0.6664062832292181,-0.891183514129172,0.23387731043312293,1.0,-0.22720200308840952,0.3568938169715987,0.5723519915970028,-0.03788349558084999,0.09252953305418138,0.5957008795135135,0.22069197263706739,-0.32902913351186497,0.31237973158857574
Olivia Dean,-0.9041037798973751,0.3292064206444599,0.11029242387396529,0.249104502579484,-0.026264577726862477,0.8129070681520322,-0.294913050614339,0.4059940989683024,0.06128579151340292,0.03701274927582226,-0.3416730581445015,0.7229860999655441,-0.7872841457609178,0.1902635219881574,0.9267880375316391,0.24783325141762652,0.4225947855330588,-0.30780172101942394,0.6583773257797298,-0.10227400732554376,0.6838091283427347,-0.22720200308840952,1.0,0.5026440943010164,0.14833456924682653,-0.28926734863404713,-0.8082303535425052,0.5743952005876005,-0.9327249552870793,-0.4240034917408372,0.0019525923083383197
Paramore,-0.5255618386821704,0.8167259688475457,0.7397746304297762,-0.5337946374871395,0.6757953299246701,0.338420614745968,-0.7397901207810099,-0.2877497949635885,-0.6183038871782853,0.6732586270829711,0.21284758318947905,0.5086749643601691,-0.20371570664588118,0.7438829061390618,0.5986242415988926,-0.4102110141549961,0.831271324426399,0.40980687340155253,-0.18869948506482687,-0.5946745014310989,0.803982842813938,0.3568938169715987,0.5026440943010164,0.9999999999999999,0.3620825018409307,-0.5571126193022735,-0.38471790683791846,0.8154873138588185,-0.3278585030317098,-0.486402072733001,0.6359843938863484
SZA,-0.33727353201664084,0.5559024618135469,0.3788920105056575,-0.3904698233682338,0.573424334686273,-0.18326418476762474,-0.48451462215709207,-0.44463054132826313,-0.5283666369240583,0.17482990040645863,0.592441662764513,-0.1274191686784886,0.1267847326173878,0.5348177487957786,0.1895841598917498,-0.4341596030941151,0.5719595008913352,0.66782117404408,-0.09294338754603898,-0.5561250195746418,0.299560149247199,0.5723519915970028,0.14833456924682653,0.3620825018409307,0.9999999999999998,-0.433723713288388,-0.10556442924344717,0.6377964970968644,-0.005679316821943209,-0.48237931754745017,0.18644157661702074
Sam Smith,0.3918650712204781,-0.5995011189086402,-0.31264152887470326,0.3925110790419024,-0.46789045629184806,0.0510208347309646,0.5721749724742604,0.29906630860911665,0.5063031171866178,-0.5241903033826948,-0.28144968970485945,0.06798366692818768,0.346850354156456,-0.439915619970385,-0.16276707117515452,0.5956310960738854,-0.6241730742452238,-0.48011034781031353,0.07634972061004366,0.2834436750455914,-0.4983344032842515,-0.03788349558084999,-0.28926734863404713,-0.5571126193022735,-0.433723713288388,1.0,0.4301116951382637,-0.5058263066730924,0.09895846712822517,0.7033427233243446,-0.3256789413924524
Shakira,0.8954285089365605,-0.4743353373908733,-0.24871471435952422,0.04904411783561972,-0.15114477386004713,-0.6220753352804198,0.5338252638794231,-0.08900791738226209,0.21515361347613954,-0.22045138491471508,0.14636197480680802,-0.4516054990223999,0.8145789800840315,-0.3580502124987918,-0.6829633762027958,0.09977100764528661,-0.5509085718894519,0.10849924608599623,-0.35065585669084526,0.2421870033585249,-0.7502084196413565,0.09252953305418138,-0.8082303535425052,-0.38471790683791846,-0.10556442924344717,0.4301116951382637,0.9999999999999999,-0.5817496263576968,0.7559015672006181,0.7017242713633702,-0.00329094713540537
Sombr,-0.7366223157074074,0.8605433505612945,0.7533360338743976,-0.5679709212137252,0.7038810927629845,0.25138379721327786,-0.8691007210381534,-0.45323314411567045,-0.7168111897867965,0.45519837783261125,0.2849238137527346,0.4070619173243506,-0.21425361442321164,0.8010827054049444,0.6859119944858558,-0.4663017767184097,0.9018559963639454,0.4862256671239256,-0.12112340938933788,-0.8051032046747237,0.7955990748155328,0.5957008795135135,0.5743952005876005,0.8154873138588185,0.6377964970968644,-0.5058263066730924,-0.5817496263576968,0.9999999999999999,-0.44294827474138393,-0.754531745537752,0.3297601579873659
Tate Mcrae,0.8624852745763077,-0.18868597392181302,-0.033664223527571605,-0.34475038640699673,0.1853541049724978,-0.8204185249620533,0.1678753127414829,-0.49805489813925624,-0.18891880490951882,0.09045403901201127,0.48806336534904937,-0.7840520912981557,0.6938881389243173,-0.04027621334797754,-0.9124789811116678,-0.4127892628764399,-0.2520730046747508,0.5106452346379919,-0.687533440017798,0.09472424435560253,-0.549972897786743,0.22069197263706739,-0.9327249552870793,-0.3278585030317098,-0.005679316821943209,0.09895846712822517,0.7559015672006181,-0.44294827474138393,1.0,0.2659361677615443,0.07459862143611638
Taylor Swift,0.6299518696043402,-0.6736402955490063,-0.46106497960705367,0.4914305106457388,-0.5105554998233878,-0.01984749502163569,0.7717142276985679,0.5088645881757423,0.6569907939998977,-0.3648847621693531,-0.27049366169412986,-0.004724473416845913,0.40608882261436136,-0.5950271291161455,-0.3713053623807505,0.6114316610345153,-0.7383439524204755,-0.4794521874065495,0.09889608423487174,0.553659263016699,-0.6081441825061245,-0.32902913351186497,-0.4240034917408372,-0.486402072733001,-0.48237931754745017,0.7033427233243446,0.7017242713633702,-0.754531745537752,0.2659361677615443,0.9999999999999999,-0.04717522997270571
Weekend,-0.09504788669059898,0.6196804473555135,0.6609724296756234,-0.5723246608954166,0.5857394598705493,0.053506008940236806,-0.4718499712506986,-0.2510776317561178,-0.548710009363191,0.7798653099457312,0.29257917462495797,0.35748944186135473,0.06355368090220789,0.6296851920352226,0.09552572617761337,-0.3949857320497737,0.5223728808403916,0.3518557637503252,-0.4861855161481206,-0.4277755713076615,0.5277617828038449,0.31237973158857574,0.0019525923083383197,0.6359843938863484,0.18644157661702074,-0.3256789413924524,-0.00329094713540537,0.3297601579873659,0.07459862143611638,-0.04717522997270571,1.0
